Character,Partner
Joey,Janine Lecroix (06-11)
Monica,Jason Hurley (01-04)
Phoebe,Jason Hurley (01-04)
Joey,Jennifer Laurio (03-20)
Phoebe,Jethro Tull (10-06)
Chandler,Joanna
Rachel,Josh (04-05)
Rachel,Joshua (04-20)
Ross,Julie
Monica,Julio (03-11)
Joey,Kate Miller (03-20)
Joey,Katherine (03-11)
Joey,Kathy
Chandler,Kathy
Joey,"Katie (05-15) (Having in mind how Joey works ('I'll just do what I do on dates'), we assume they're having sex)"
Phoebe,"Kenny, the copy boy (06-08) (Suggested to Rachel that getting laid with him would help her. She knew)"
Monica,Kevin Millmore (01-05) (Suggests he broke up with her repeatedly; seems fair to assume there was sex)
Phoebe,Kyle 'Hums While He Pees' (07-05)
Ross,Lady who cleaned his dorm in college (07-04)
Phoebe,"Larry (05-07) (She was pretty turned on by the badge and wasn't afraid of showing it during their dates, so we assume there was sex)"
Joey,Laura (10-07)
Joey,Lauren (03-20)
Joey,Lori (02-10) (This fornication gave Joey his role as Dr. Drake Ramorey)
Joey,Lorraine (01-14) (We assume they had sex after/before/during licking chocolate mousse off each other)
Joey,Mandy (10-09) (Not a really hot blond with big boobs)
Chandler,"Marjorie (04-20, from the sleep clinic)"
Chandler,Mary Angela Tribbiani (might not have been full-on sex. That's the .5)
Joey,Melanie (01-24)
Phoebe,Mike Hannigan
Phoebe,Milwaukee guy (01-07)
Ross,Mona
Chandler,Monica
Joey,Mrs. Laurio (03-20)
Chandler,Nina Bookbinder (01-16)
Phoebe,Nokolulu-nk-a-ah (sp?) (01-14)
Phoebe,Pablo Díaz (10-06)
Rachel,Paolo
Phoebe,Parker (08-18) (At night he treats her like the naughty girl she is)
Rachel,Patrick (04-10) (He flung Rachel)
Rachel,"Paul Stevens (06-21, sex confirmed in 06-23)"
Monica,Paul 'The Wine Guy'
Monica,Pete Becker
Rachel,"Pete 'The Weeper' Carny (01-14, also referenced in 02-18)"
Monica,Pool table guy (01-07)
Phoebe,Puppet guy (01-13) (Mentioned by Joey's dad. Also mentioned in 02-19)
Ross,Rachel
Monica,Richard Burke
Phoebe,Rob Donan (02-12)
Phoebe,Roger (01-13)
Rachel,Ross
Phoebe,Ryan (02-23) (The Navy guy)
Joey,Sandy (01-10) (Hot single mom at the store)
Phoebe,Scott (02-07) (AKA Joey's God)
Monica,Scotty Jared (01-14)
Joey,Shannon Cooper (02-22)
Joey,Shelly (08-19)
Phoebe,Short crazy guy (08-11)
Joey,Stacy Roth (02-22)
Joey,Stacy Roth's roommate (02-22)
Monica,Steve (01-03) (No further reference; counts as .5)
Rachel,Stevie Fisher's dad (02-05)
Joey,Stripper 1 (03-01)
Joey,Stripper 2 (04-22)
Monica,Stuart (07-11) (Her cousin's now-husband)
Chandler,Susie 'Underpants' Moss (02-13)
Rachel,Tag Jones (07-12) (By this time they're shown as an established couple)
Rachel,Teacher (07-18) (She got under him)
Phoebe,Tim (08-05)
Rachel,Tommy (03-22)
Phoebe,Tony (01-04)
Rachel,Tony Demarco (01-01)
Phoebe,Unbelievably loud upstairs neighbor (03-11)
Phoebe,Vince (03-23)
Ross,Whitney (07-05) (Hums While He Pees' ex-wife. Hurt Ross' back a little.)
Joey,Woman who's really good in bed (05-16)
Joey,Woman who's really good in bed's roommate (05-16)
Joey,Women's room of the New York City Library's girl (01-07)
